source_rel_path,audio_16k_rel_path,spectrogram_rel_path,embedding_rel_path,duration_sec,sr,spectrogram_shape,embedding_shape,model,input_length_sec,embedding_key
1310594.mp3,audio_16k/1310594.wav,spectrograms/1310594.mp3.npz,embeddings/1310594.mp3.npz,212.610625,16000,13289x96,71x500,MSD_musicnn_big,3.0,penultimate
1313247.mp3,audio_16k/1313247.wav,spectrograms/1313247.mp3.npz,embeddings/1313247.mp3.npz,143.2033125,16000,8951x96,47x500,MSD_musicnn_big,3.0,penultimate
1315237.mp3,audio_16k/1315237.wav,spectrograms/1315237.mp3.npz,embeddings/1315237.mp3.npz,188.760875,16000,11798x96,63x500,MSD_musicnn_big,3.0,penultimate
1318646.mp3,audio_16k/1318646.wav,spectrograms/1318646.mp3.npz,embeddings/1318646.mp3.npz,230.16,16000,14386x96,76x500,MSD_musicnn_big,3.0,penultimate
1326691.mp3,audio_16k/1326691.wav,spectrograms/1326691.mp3.npz,embeddings/1326691.mp3.npz,139.729,16000,8734x96,46x500,MSD_musicnn_big,3.0,penultimate
1347103.mp3,audio_16k/1347103.wav,spectrograms/1347103.mp3.npz,embeddings/1347103.mp3.npz,146.416375,16000,9152x96,48x500,MSD_musicnn_big,3.0,penultimate
1354744.mp3,audio_16k/1354744.wav,spectrograms/1354744.mp3.npz,embeddings/1354744.mp3.npz,115.539625,16000,7222x96,38x500,MSD_musicnn_big,3.0,penultimate
438777.mp3,audio_16k/438777.wav,spectrograms/438777.mp3.npz,embeddings/438777.mp3.npz,207.960875,16000,12998x96,69x500,MSD_musicnn_big,3.0,penultimate
495795.mp3,audio_16k/495795.wav,spectrograms/495795.mp3.npz,embeddings/495795.mp3.npz,222.6939375,16000,13919x96,74x500,MSD_musicnn_big,3.0,penultimate
508568.mp3,audio_16k/508568.wav,spectrograms/508568.mp3.npz,embeddings/508568.mp3.npz,290.951875,16000,18185x96,97x500,MSD_musicnn_big,3.0,penultimate
518749.mp3,audio_16k/518749.wav,spectrograms/518749.mp3.npz,embeddings/518749.mp3.npz,210.28575,16000,13143x96,70x500,MSD_musicnn_big,3.0,penultimate
591947.mp3,audio_16k/591947.wav,spectrograms/591947.mp3.npz,embeddings/591947.mp3.npz,152.58125,16000,9537x96,51x500,MSD_musicnn_big,3.0,penultimate
592717.mp3,audio_16k/592717.wav,spectrograms/592717.mp3.npz,embeddings/592717.mp3.npz,287.29475,16000,17956x96,96x500,MSD_musicnn_big,3.0,penultimate
639410.mp3,audio_16k/639410.wav,spectrograms/639410.mp3.npz,embeddings/639410.mp3.npz,191.6343125,16000,11978x96,64x500,MSD_musicnn_big,3.0,penultimate
654553.mp3,audio_16k/654553.wav,spectrograms/654553.mp3.npz,embeddings/654553.mp3.npz,232.04575,16000,14503x96,77x500,MSD_musicnn_big,3.0,penultimate
673212.mp3,audio_16k/673212.wav,spectrograms/673212.mp3.npz,embeddings/673212.mp3.npz,327.7845,16000,20487x96,109x500,MSD_musicnn_big,3.0,penultimate
675124.mp3,audio_16k/675124.wav,spectrograms/675124.mp3.npz,embeddings/675124.mp3.npz,546.216,16000,34139x96,182x500,MSD_musicnn_big,3.0,penultimate
684652.mp3,audio_16k/684652.wav,spectrograms/684652.mp3.npz,embeddings/684652.mp3.npz,235.3125625,16000,14708x96,78x500,MSD_musicnn_big,3.0,penultimate
701296.mp3,audio_16k/701296.wav,spectrograms/701296.mp3.npz,embeddings/701296.mp3.npz,113.8939375,16000,7119x96,38x500,MSD_musicnn_big,3.0,penultimate
708301.mp3,audio_16k/708301.wav,spectrograms/708301.mp3.npz,embeddings/708301.mp3.npz,240.0653125,16000,15005x96,80x500,MSD_musicnn_big,3.0,penultimate
722594.mp3,audio_16k/722594.wav,spectrograms/722594.mp3.npz,embeddings/722594.mp3.npz,268.6955625,16000,16794x96,89x500,MSD_musicnn_big,3.0,penultimate
725417.mp3,audio_16k/725417.wav,spectrograms/725417.mp3.npz,embeddings/725417.mp3.npz,204.0425,16000,12753x96,68x500,MSD_musicnn_big,3.0,penultimate
730956.mp3,audio_16k/730956.wav,spectrograms/730956.mp3.npz,embeddings/730956.mp3.npz,302.3935,16000,18900x96,101x500,MSD_musicnn_big,3.0,penultimate
748180.mp3,audio_16k/748180.wav,spectrograms/748180.mp3.npz,embeddings/748180.mp3.npz,133.48575,16000,8343x96,44x500,MSD_musicnn_big,3.0,penultimate
757876.mp3,audio_16k/757876.wav,spectrograms/757876.mp3.npz,embeddings/757876.mp3.npz,227.3175625,16000,14208x96,75x500,MSD_musicnn_big,3.0,penultimate
758908.mp3,audio_16k/758908.wav,spectrograms/758908.mp3.npz,embeddings/758908.mp3.npz,265.0645,16000,16567x96,88x500,MSD_musicnn_big,3.0,penultimate
767005.mp3,audio_16k/767005.wav,spectrograms/767005.mp3.npz,embeddings/767005.mp3.npz,270.9681875,16000,16936x96,90x500,MSD_musicnn_big,3.0,penultimate
